FCLTY_NM,FCLTY_SDIV_CD,FCLTY_FLAG_NM,INDUTY_CD,INDUTY_NM,FCLTY_TY_CD,FCLTY_TY_NM,POSESN_MBY_CD,POSESN_MBY_NM,POSESN_MBY_CTPRVN_CD,POSESN_MBY_CTPRVN_NM,POSESN_MBY_SIGNGU_CD,POSESN_MBY_SIGNGU_NM,RSPNSBLTY_DEPT_NM,RSPNSBLTY_TEL_NO,ROAD_NM_CTPRVN_CD,ROAD_NM_CTPRVN_NM,ROAD_NM_SIGNGU_CD,ROAD_NM_SIGNGU_NM,ROAD_NM_EMD_CD,ROAD_NM_EMD_NM,ROAD_NM_LI_CD,ROAD_NM_LI_NM,RDNMADR_NM,FCLTY_LO,FCLTY_LA,FCLTY_AR_CO,ACMD_NMPR_CO,ADTM_CO,FCLTY_HMPG_URL,NATION_ALSFC_AT,FCLTY_STATE_CD,DEL_AT
" 지곡마을 체육시설","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","1200000000","전남광주통합특별시","1219000000","광양시","체육과","797-3911","1200000000","전남광주통합특별시","1219000000","광양시",,,,,,"127.579364666","34.9947949385",,,,,"N","00","Y"
"보령배드민턴구장","P","공공","P22","기타시설","P2201","기타시설","01","지방자치단체","4400000000","충청남도","4418000000","보령시",,,"4400000000","충청남도","4418000000","보령시","4418010500","명천동",,,"충청남도 보령시 한내로 78-12 (명천동)","126.609913100344","36.3441140640943","2122",,,,"N","00","N"
"(박리마을) 신왕1리","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-8091","4700000000","경상북도","4715000000","김천시","4715040026","신왕리",,,"경북 김천시 조마면 신왕리 1257-1","128.142341914463","36.0192467165226",,,,,"N","00","N"
"(인의1리회관옆)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-8034","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","N"
"(자산경로당)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-8077","4700000000","경상북도","4715000000","김천시","4715010400","성내동",,,"경상북도 김천시 자산3길 16 (성내동)","128.122092372718","36.1207711973501",,,,,"N","99","N"
"ECO도시숲 체육시설","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","2600000000","부산광역시","2650000000","수영구",,,"2600000000","부산광역시","2650000000","수영구","2650010400","광안동",,,"부산 수영구 광안동 산 23-19","129.104585215757","35.1623251648499",,,,,"N","00","N"
"감문중학교","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7934","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"개나리 공원 야외운동기구","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4728000000","문경시",,,"4700000000","경상북도","4728000000","문경시","4728011000","모전동",,,"경상북도 문경시 시청2길 21 (모전동)","128.1879630940155","36.58696964945767",,,,,"N","00","N"
"광천리  1168-2번지","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"구천면 미천2리 동네체육시설","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4773000000","의성군","구천면","054-830-5244","4700000000","경상북도","4773000000","의성군",,,,,,"128.454394201","36.3621314228",,,,,"N","00","Y"
